1,肩甲挙筋,levator scapulae
2,大菱形筋,rhomboid major
3,広背筋,latissimus dorsi
4,僧帽筋,trapezius
5,小菱形筋,rhomboid minor
6,副神経[xi],accessory nerve (xi)
7,僧帽筋,trapezius muscle
8,頚横動脈浅枝,superficial branch of transverse cervical artery
9,上後鋸筋,serratus posterior superior
10,下後鋸筋,serratus posterior inferior
11,腸肋筋,iliocostalis
12,頭板状筋,splenius capitis
13,最長筋,longissimus
14,棘筋,spinalis
15,小後頭直筋,rectus capitis posterior minor
16,頭半棘筋,semispinalis capitis
17,横突間筋,intertransversarius
18,胸半棘筋,semispinalis thoracis
19,上頭斜筋,obliquus capitis superior
20,大後頭直筋,rectus capitis posterior major
21,下頭斜筋,obliquus capitis inferior
22,胸回旋筋,"rotatores thoracis(short,long)"
23,脊柱起立筋,erector spinae(cut)
24,椎骨動脈,vertebral artery
25,小後頭直筋,rectus capitis posterior minor muscle
26,大後頭直筋,rectus capitis posterior major muscle
27,上頭斜筋,obliquus capitis superior muscle
28,第一頚椎の後枝,posterior ramus of ci
29,左鼡径部,left groin
30,上胃部,epigastric region
31,左下肋部,left hypochondrium
32,肋骨下平面,subcostal plane
33,右下肋部,right hypochondrium
34,臍部,umbilical region
35,鎖骨中線,midclavicular lines
36,右鼡径部,right groin
37,結節間平面,intertubercular plane
38,鼡径靱帯,inguinal ligament
39,大腿動脈,femoral artery
40,縫工筋,sartorius muscle
41,大腿静脈,femoral vein
42,恥骨結合,pubic symphysis
43,大腿管内のリンパ管,lymphatic vessels in the femoral canal
44,長内転筋,adductor longus muscle
45,膝窩静脈,popliteal vein
46,大伏在静脈,great saphenous vein
47,外腸骨静脈,external iliac vein
48,小伏在静脈,small saphenous vein
49,大腿直筋,rectus femoris muscle
50,膝蓋靭帯,patellar ligament
51,外側広筋,vastus lateralis muscle
52,大腿四頭筋腱,quadriceps femoris tendon
53,中間広筋 ,vastus intermedius muscle
54,縫工筋,sartorius
55,内側広筋,vastus medialis
56,大腿直筋,rectus femoris
57,総腸骨動脈,common iliac artery
58,大腿動脈,femoral artery
59,大腿深動脈,deep artery of thigh
60,外腸骨動脈,external iliac artery
61,鵞足,pes anserinus
62,薄筋,gracilis
63,外閉鎖筋,obturator externus
64,恥骨筋,pectineus
65,内転筋腱裂孔,adductor hiatus
66,大腿の前部コンパートメント,anterior compartment of thigh 
67,恥骨筋,pectineus
68,大内転筋,adductor magnus
69,外閉鎖筋,obturator externus
70,閉鎖神経,obturator nerve
71,長内転筋,adductor longus muscle
72,外閉鎖筋,obturator externus muscle
73,閉鎖神経前枝,anterior branch of obturator nerve
74,薄筋,gracilis muscle
75,大内転筋,adductor magnus muscle
76,短内転筋,adductor brevis muscle
77,梨状筋,piriformis
78,大殿筋,gluteus maximus
79,内閉鎖筋,obturator internus
80,中殿筋,gluteus medius
81,大腿方形筋,quadratus femoris
82,小殿筋,gluteus minimus
83,下双子筋,gemellus inferior
84,上双子筋,gemellus superior
85,大殿筋,gluteus maximus
86,中殿筋,gluteus medius
87,小殿筋,gluteus minimus
88,大腿筋膜張筋,tensor fasciae latae
89, 大腿方形筋,quadratus femoris
90, 内閉鎖筋,obturator internus
91,大腿二頭筋長頭,long head of biceps femoris
92,半腱様筋,semitendinosus
93,大腿二頭筋短頭,short head of biceps femoris
94,半膜様筋,semimembranosus
95,大内転筋のハムストリング部,hamstring part of adductor magnus
96,大腿二頭筋,biceps femoris
97,坐骨神経,sciatic nerve
98,梨状筋,piriformis muscle
99,脛骨神経,tibial nerve
100,膝窩動静脈,popliteal artery and vein
101,総腓骨神経,common fibular nerve
102,大腿方形筋,quadratus femoris muscle
103,大内転筋,adductor magnus muscle
104,乳輪,areola
105,乳管,lactiferous ducts
106,中心腋窩リンパ節,central axillary nodes
107,乳管洞,lactiferous sinuses
108,乳腺の腋窩突起,axillary process of mammary gland
109,内胸動脈,internal thoracic artery
110,乳腺の分泌小葉,secretory lobule of mammary gland
111,乳房提靭帯,suspensory ligaments
112,乳房後隙,retromammary space
113,胸骨傍リンパ節,parasternal lymph nodes
114,外側腋窩リンパ節,lateral axillary nodes
115,上腋窩リンパ節,apical axillary nodes
116,三角筋,deltoid muscle
117,橈側皮静脈,cephalic vein
118,大胸筋,pectoralis major muscle
119,内側胸筋神経,medial pectoral nerves
120,外側胸筋神経,lateral pectoral nerve
121,大胸筋(切断),pectoralis major muscle
122,橈側皮静脈,cephalic vein
123,鎖骨下筋,subclavius muscle
124,大胸筋,pectoralis major muscle
125,腋窩の床をつくる筋膜の付着部,attachment of fascia to floor of axilla
126,鎖骨胸筋筋膜,clavipectoral fascia
127,小胸筋,pectoralis minor muscle
128,胸鎖乳突筋,sternocleidomastoid muscle
129,後頚三角,posterior triangle
130,僧帽筋,trapezius muscle
131,前頚三角,anterior triangle
132,下顎骨下縁,inferior border of mandible
133,頚動脈鞘,carotid sheath
134,内臓区画,visceral compartment
135,脈管区画,vascular compartment
136,脊柱区画,vertebral compartment
137,椎前葉,prevertebral layer
138,浅葉,investing layer
139,内頚静脈,internal jugular vein
140,外頚静脈,external jugular vein
141,前頚静脈,anterior jugular veins
142,顔面静脈,facial vein
143,後耳介静脈,posterior auricular vein
144,顎静脈,maxillary vein
145,下顎後静脈,retromandibular vein
146,頚横静脈,transverse cervical vein
147,浅側頭静脈,superficial temporal vein
148,肩甲舌骨筋下腹,inferior belly of omohyoid muscle
149,胸鎖乳突筋,sternocleidomastoid muscle
150,肩甲挙筋,levator scapulae muscle
151,前斜角筋,anterior scalene muscle
152,僧帽筋,trapezius muscle
153,小後頭神経,lesser occipital nerve
154,副神経(xi),accessory nerve (xi)
155,頚横神経,transverse cervical nerve
156,鎖骨上神経,supraclavicular nerves
157,大耳介神経,great auricular nerve
158,第七胸椎の棘突起,tvii vertebral spinous process
159,第四腰椎の棘突起,liv vertebral spinous process
160,第三胸椎の棘突起,tiii vertebral spinous process
161,外後頭隆起,external occipital protuberance
162,脊髄の下端（通常第一・第二腰椎の椎間の高さ）,inferior end of spinal cord normally between li and lii vertebrae
163,クモ膜下腔の下端（通常第二仙椎の高さ）,inferior end of subarachnoid space normally at sii
164,胸骨角,sternal angle
165,頚切痕,jugular notch
166,剣状突起,xiphoid process
167,肋骨弓,costal margin
